object_type,object_id,action,attributes
Declaration,946174,update,"training_period_id,310173"
TrainingPeriod,272120,update,"started_on,2022-09-01"
MentorshipPeriod,156616,update,"started_on,2022-09-01"
ECTAtSchoolPeriod,138421,update,"started_on,2022-09-01"
ECTAtSchoolPeriod,ASP1,create,"school_id,20783,teacher_id,259444,started_on,2021-09-01,finished_on,2022-08-31,email,placeholder@example.com"
TrainingPeriod,TP1,create,"school_partnership_id,4762,started_on,2021-09-01,finished_on,2022-08-31,ect_at_school_period_id,ASP1,training_programme,provider_led,schedule_id,33"
Declaration,568646,update,"training_period_id,TP1"
Declaration,82234,update,"training_period_id,TP1"
Declaration,801685,update,"training_period_id,TP1"
Declaration,184356,update,"training_period_id,TP1"
ECTAtSchoolPeriod,132091,update,"finished_on,"
TrainingPeriod,TP2,create,"started_on,2025-02-01,finished_on,,school_partnership_id,74225,ect_at_school_period_id,132091,training_programme,provider_led,schedule_id,20"
Declaration,451779,update,"training_period_id,TP2"
ECTAtSchoolPeriod,48825,update,"finished_on,"
TrainingPeriod,TP3,create,"started_on,2025-08-01,finished_on,,school_partnership_id,77556,ect_at_school_period_id,48825,training_programme,provider_led,schedule_id,20"
Declaration,282666,update,"training_period_id,TP3"
TrainingPeriod,TP4,create,"started_on,2024-09-01,finished_on,2026-03-03,school_partnership_id,25415,mentor_at_school_period_id,124095,training_programme,provider_led,schedule_id,20"
Declaration,852281,update,"training_period_id,TP4"
