object_type,object_id,action,attributes
teacher,256639,update,"ect_first_became_eligible_for_training_at,"
teacher,259727,update,"ect_first_became_eligible_for_training_at,"
teacher,218536,update,"ect_first_became_eligible_for_training_at,"
teacher,245699,update,"ect_first_became_eligible_for_training_at,"
teacher,221765,update,"ect_first_became_eligible_for_training_at,"
teacher,230560,update,"ect_first_became_eligible_for_training_at,"
teacher,221033,update,"ect_first_became_eligible_for_training_at,"
teacher,232943,update,"ect_first_became_eligible_for_training_at,"
teacher,243859,update,"ect_first_became_eligible_for_training_at,"
teacher,260341,update,"ect_first_became_eligible_for_training_at,"
teacher,261538,update,"ect_first_became_eligible_for_training_at,"
teacher,272518,update,"ect_first_became_eligible_for_training_at,"
teacher,285290,update,"ect_first_became_eligible_for_training_at,"
teacher,247532,update,"ect_first_became_eligible_for_training_at,"
teacher,248520,update,"ect_first_became_eligible_for_training_at,"
teacher,249310,update,"ect_first_became_eligible_for_training_at,"
teacher,232180,update,"ect_first_became_eligible_for_training_at,"
teacher,220328,update,"ect_first_became_eligible_for_training_at,"
teacher,265063,update,"ect_first_became_eligible_for_training_at,"
teacher,218032,update,"ect_first_became_eligible_for_training_at,"
teacher,226429,update,"ect_first_became_eligible_for_training_at,"
teacher,222901,update,"ect_first_became_eligible_for_training_at,"
teacher,265151,update,"ect_first_became_eligible_for_training_at,"
teacher,271020,update,"ect_first_became_eligible_for_training_at,"
teacher,249015,update,"ect_first_became_eligible_for_training_at,"
teacher,260376,update,"ect_first_became_eligible_for_training_at,"
teacher,268097,update,"ect_first_became_eligible_for_training_at,"
teacher,220968,update,"ect_first_became_eligible_for_training_at,"
teacher,272756,update,"ect_first_became_eligible_for_training_at,"
teacher,246397,update,"ect_first_became_eligible_for_training_at,"
teacher,246484,update,"ect_first_became_eligible_for_training_at,"
teacher,217024,update,"ect_first_became_eligible_for_training_at,"
teacher,217333,update,"ect_first_became_eligible_for_training_at,"
teacher,217580,update,"ect_first_became_eligible_for_training_at,"
teacher,219448,update,"ect_first_became_eligible_for_training_at,"
teacher,219602,update,"ect_first_became_eligible_for_training_at,"
teacher,219599,update,"ect_first_became_eligible_for_training_at,"
teacher,219862,update,"ect_first_became_eligible_for_training_at,"
teacher,220058,update,"ect_first_became_eligible_for_training_at,"
teacher,220239,update,"ect_first_became_eligible_for_training_at,"
teacher,220254,update,"ect_first_became_eligible_for_training_at,"
teacher,221309,update,"ect_first_became_eligible_for_training_at,"
teacher,221564,update,"ect_first_became_eligible_for_training_at,"
teacher,222263,update,"ect_first_became_eligible_for_training_at,"
teacher,222449,update,"ect_first_became_eligible_for_training_at,"
teacher,223509,update,"ect_first_became_eligible_for_training_at,"
teacher,225219,update,"ect_first_became_eligible_for_training_at,"
teacher,225220,update,"ect_first_became_eligible_for_training_at,"
teacher,225338,update,"ect_first_became_eligible_for_training_at,"
teacher,227198,update,"ect_first_became_eligible_for_training_at,"
teacher,227249,update,"ect_first_became_eligible_for_training_at,"
teacher,227490,update,"ect_first_became_eligible_for_training_at,"
